invoice_id,date,timestamp,product,category,quantity,unit_price,total_sales,customer_type,payment_method,customer_gender,customer_age,rating
INV-1004,2023-03-01,2023-03-01 21:32:00,Juice,Beverages,2,3.59,7.18,Member,Credit Cart,Fmale,56+,3
INV-1005,2023-03-01,2023-03-01 19:26:00,Coffee,Beverages,3,7.98,23.94,Regular,Cash,Male,18-25,4
INV-1005,2023-03-01,2023-03-01 19:26:00,Butter,Dairy,2,4.9,9.8,Regular,Cash,Male,18-25,4
INV-1005,2023-03-01,2023-03-01 19:26:00,Fish,Seafood,2,10.2,20.39,Regular,Cash,Male,18-25,4
INV-1005,2023-03-01,2023-03-01 19:26:00,Beef,Meat,2,12.38,24.77,Regular,Cash,Male,18-25,4
INV-1005,2023-03-01,2023-03-01 19:26:00,Bananas,Produce,2,2.06,4.13,Regular,Cash,Male,18-25,4
INV-1005,2023-03-01,2023-03-01 19:26:00,Coffee,Beverages,3,8.03,24.1,Regular,Cash,Male,18-25,4
INV-1005,2023-03-01,2023-03-01 19:26:00,Potatoes,Produce,2,3.09,6.17,Regular,Cash,Male,18-25,4
INV-1005,2023-03-01,2023-03-01 19:26:00,Datergent,Household,1,3.93,3.93,Regular,Cash,Male,18-25,4
INV-1005,2023-03-01,2023-03-01 19:26:00,Rice,Pantry,1,4.81,4.81,Regular,Cash,Male,18-25,4
INV-1005,2023-03-01,2023-03-01 19:26:00,Cheese,Dairy,1,5.92,5.92,Regular,Cash,Male,18-25,4
INV-1005,2023-03-01,2023-03-01 19:26:00,Beer,Alcohol,3,1.94,5.81,Regular,Cash,Male,18-25,4
INV-1006,2023-03-01,2023-03-01 19:04:00,Chicken,Meat,2,8.69,17.37,Member,Cash,Male,18-25,4
INV-1006,2023-03-01,2023-03-01 19:04:00,Flour,Pantry,2,3.96,7.92,Member,Cash,Male,18-25,4
INV-1006,2023-03-01,2023-03-01 19:04:00,Beer,Alcohol,3,1.9,5.71,Member,Cash,Male,18-25,4
INV-1006,2023-03-01,2023-03-01 19:04:00,Rice,Pantry,1,5.22,5.22,Member,Cash,Male,18-25,4
INV-1006,2023-03-01,2023-03-01 19:04:00,Cheese,Dairy,2,6.12,12.24,Member,Cash,Male,18-25,4
INV-1006,2023-03-01,2023-03-01 19:04:00,Bread,Bakery,3,4.7,14.1,Member,Cash,Male,18-25,4
INV-1006,2023-03-01,2023-03-01 19:04:00,Flour,Pantry,1,3.96,3.96,Member,Cash,Male,18-25,4
INV-1006,2023-03-01,2023-03-01 19:04:00,Coffee,Beverages,1,7.88,7.88,Member,Cash,Male,18-25,4
INV-1006,2023-03-01,2023-03-01 19:04:00,Toilet Paper,Household,2,8.67,17.33,Member,Cash,Male,18-25,4
INV-1006,2023-03-01,2023-03-01 19:04:00,Milk,Dairy,2,2.92,5.83,Member,Cash,Male,18-25,4
INV-1007,2023-03-01,2023-03-01 19:14:00,Fish,Seafood,3,9.84,29.51,Regular,Debit Card,Fmale,18-25,5
INV-1007,2023-03-01,2023-03-01 19:14:00,Wine,Alcohol,1,11.93,11.93,Regular,Debit Card,Fmale,18-25,5
INV-1007,2023-03-01,2023-03-01 19:14:00,Toothpaste,Personal Care,1,2.5,2.5,Regular,Debit Card,Fmale,18-25,5
INV-1007,2023-03-01,2023-03-01 19:14:00,Oranges,Produce,2,0.98,1.96,Regular,Debit Card,Fmale,18-25,5
INV-1007,2023-03-01,2023-03-01 19:14:00,Toothpaste,Personal Care,1,2.6,2.6,Regular,Debit Card,Fmale,18-25,5
INV-1007,2023-03-01,2023-03-01 19:14:00,Cheese,Dairy,1,6.22,6.22,Regular,Debit Card,Fmale,18-25,5
INV-1007,2023-03-01,2023-03-01 19:14:00,Shampoo,Personal Care,1,5.22,5.22,Regular,Debit Card,Fmale,18-25,5
INV-1007,2023-03-01,2023-03-01 19:14:00,Bread,Bakery,1,4.52,4.52,Regular,Debit Card,Fmale,18-25,5
INV-1007,2023-03-01,2023-03-01 19:14:00,Beef,Meat,1,12.4,12.4,Regular,Debit Card,Fmale,18-25,5
INV-1007,2023-03-01,2023-03-01 19:14:00,Datergent,Household,3,3.96,11.87,Regular,Debit Card,Fmale,18-25,5
INV-1007,2023-03-01,2023-03-01 19:14:00,Bread,Bakery,2,4.49,8.97,Regular,Debit Card,Fmale,18-25,5
INV-1007,2023-03-01,2023-03-01 19:14:00,Oranges,Produce,2,0.98,1.96,Regular,Debit Card,Fmale,18-25,5
INV-1007,2023-03-01,2023-03-01 19:14:00,Wine,Alcohol,2,11.61,23.22,Regular,Debit Card,Fmale,18-25,5
INV-1007,2023-03-01,2023-03-01 19:14:00,Oranges,Produce,1,1.01,1.01,Regular,Debit Card,Fmale,18-25,5
INV-1008,2023-03-01,2023-03-01 21:18:00,Yagurt,Dairy,2,1.93,3.86,Member,Debit Card,Male,46-55,4
INV-1008,2023-03-01,2023-03-01 21:18:00,Eggs,Dairy,3,2.4,7.2,Member,Debit Card,Male,46-55,4
INV-1008,2023-03-01,2023-03-01 21:18:00,Shampoo,Personal Care,3,4.8,14.41,Member,Debit Card,Male,46-55,4
INV-1008,2023-03-01,2023-03-01 21:18:00,Cheese,Dairy,1,6.17,6.17,Member,Debit Card,Male,46-55,4
INV-1008,2023-03-01,2023-03-01 21:18:00,Sugar,Pantry,2,3.02,6.03,Member,Debit Card,Male,46-55,4
INV-1008,2023-03-01,2023-03-01 21:18:00,Juice,Beverages,1,3.33,3.33,Member,Debit Card,Male,46-55,4
INV-1008,2023-03-01,2023-03-01 21:18:00,Toothpaste,Personal Care,2,2.37,4.75,Member,Debit Card,Male,46-55,4
INV-1008,2023-03-01,2023-03-01 21:18:00,Water,Beverages,2,1.04,2.08,Member,Debit Card,Male,46-55,4
INV-1008,2023-03-01,2023-03-01 21:18:00,Beer,Alcohol,2,1.95,3.9,Member,Debit Card,Male,46-55,4
INV-1008,2023-03-01,2023-03-01 21:18:00,Butter,Dairy,2,5.08,10.16,Member,Debit Card,Male,46-55,4
INV-1008,2023-03-01,2023-03-01 21:18:00,Eggs,Dairy,2,2.2,4.39,Member,Debit Card,Male,46-55,4
INV-1009,2023-03-01,2023-03-01 21:40:00,Chicken,Meat,1,8.98,8.98,Regular,Debit Card,Male,56+,3
INV-1009,2023-03-01,2023-03-01 21:40:00,Bread,Bakery,3,4.42,13.27,Regular,Debit Card,Male,56+,3
INV-1009,2023-03-01,2023-03-01 21:40:00,Coffee,Beverages,1,7.9,7.9,Regular,Debit Card,Male,56+,3
INV-1009,2023-03-01,2023-03-01 21:40:00,Milk,Dairy,1,2.84,2.84,Regular,Debit Card,Male,56+,3
INV-1009,2023-03-01,2023-03-01 21:40:00,Pasta,Pantry,1,2.03,2.03,Regular,Debit Card,Male,56+,3
INV-1009,2023-03-01,2023-03-01 21:40:00,Chicken,Meat,3,8.6,25.81,Regular,Debit Card,Male,56+,3
INV-1009,2023-03-01,2023-03-01 21:40:00,Beef,Meat,2,13.23,26.46,Regular,Debit Card,Male,56+,3
INV-1010,2023-03-01,2023-03-01 11:14:00,Eggs,Dairy,1,2.39,2.39,Regular,Credit Cart,Male,46-55,5
INV-1010,2023-03-01,2023-03-01 11:14:00,Chicken,Meat,3,8.62,25.85,Regular,Credit Cart,Male,46-55,5
INV-1010,2023-03-01,2023-03-01 11:14:00,Toothpaste,Personal Care,3,2.52,7.56,Regular,Credit Cart,Male,46-55,5
INV-1010,2023-03-01,2023-03-01 11:14:00,Rice,Pantry,2,4.77,9.54,Regular,Credit Cart,Male,46-55,5
INV-1010,2023-03-01,2023-03-01 11:14:00,Flour,Pantry,1,3.82,3.82,Regular,Credit Cart,Male,46-55,5
INV-1010,2023-03-01,2023-03-01 11:14:00,Toilet Paper,Household,1,9.04,9.04,Regular,Credit Cart,Male,46-55,5
INV-1010,2023-03-01,2023-03-01 11:14:00,Oranges,Produce,3,1.01,3.03,Regular,Credit Cart,Male,46-55,5
INV-1010,2023-03-01,2023-03-01 11:14:00,Sugar,Pantry,3,2.9,8.71,Regular,Credit Cart,Male,46-55,5
INV-1010,2023-03-01,2023-03-01 11:14:00,Chicken,Meat,2,8.81,17.63,Regular,Credit Cart,Male,46-55,5
INV-1010,2023-03-01,2023-03-01 11:14:00,Wine,Alcohol,1,12.36,12.36,Regular,Credit Cart,Male,46-55,5
INV-1010,2023-03-01,2023-03-01 11:14:00,Butter,Dairy,2,4.84,9.68,Regular,Credit Cart,Male,46-55,5
INV-1011,2023-03-01,2023-03-01 20:27:00,Datergent,Household,2,4.11,8.23,Regular,Credit Cart,Male,36-45,4
INV-1011,2023-03-01,2023-03-01 20:27:00,Milk,Dairy,1,2.84,2.84,Regular,Credit Cart,Male,36-45,4
INV-1011,2023-03-01,2023-03-01 20:27:00,Yagurt,Dairy,3,1.95,5.84,Regular,Credit Cart,Male,36-45,4
INV-1011,2023-03-01,2023-03-01 20:27:00,Sugar,Pantry,1,3.04,3.04,Regular,Credit Cart,Male,36-45,4
INV-1011,2023-03-01,2023-03-01 20:27:00,Pasta,Pantry,1,1.92,1.92,Regular,Credit Cart,Male,36-45,4
INV-1011,2023-03-01,2023-03-01 20:27:00,Tomatoes,Produce,1,2.53,2.53,Regular,Credit Cart,Male,36-45,4
INV-1011,2023-03-01,2023-03-01 20:27:00,Potatoes,Produce,3,2.86,8.57,Regular,Credit Cart,Male,36-45,4
INV-1012,2023-03-01,2023-03-01 09:20:00,Beef,Meat,1,13.44,13.44,Regular,Credit Cart,Male,36-45,5
INV-1012,2023-03-01,2023-03-01 09:20:00,Oranges,Produce,1,0.95,0.95,Regular,Credit Cart,Male,36-45,5
INV-1012,2023-03-01,2023-03-01 09:20:00,Eggs,Dairy,2,2.37,4.74,Regular,Credit Cart,Male,36-45,5
INV-1012,2023-03-01,2023-03-01 09:20:00,Datergent,Household,1,4.14,4.14,Regular,Credit Cart,Male,36-45,5
INV-1012,2023-03-01,2023-03-01 09:20:00,Fish,Seafood,3,9.71,29.13,Regular,Credit Cart,Male,36-45,5
INV-1012,2023-03-01,2023-03-01 09:20:00,Soap,Personal Care,1,5.86,5.86,Regular,Credit Cart,Male,36-45,5
INV-1012,2023-03-01,2023-03-01 09:20:00,Beer,Alcohol,3,2.03,6.1,Regular,Credit Cart,Male,36-45,5
INV-1012,2023-03-01,2023-03-01 09:20:00,Chicken,Meat,2,9.43,18.86,Regular,Credit Cart,Male,36-45,5
INV-1012,2023-03-01,2023-03-01 09:20:00,Datergent,Household,3,3.79,11.38,Regular,Credit Cart,Male,36-45,5
INV-1012,2023-03-01,2023-03-01 09:20:00,Tomatoes,Produce,3,2.47,7.41,Regular,Credit Cart,Male,36-45,5
INV-1013,2023-03-01,2023-03-01 21:43:00,Oranges,Produce,3,0.95,2.85,Regular,Debit Card,Male,18-25,4
INV-1013,2023-03-01,2023-03-01 21:43:00,Eggs,Dairy,3,2.18,6.55,Regular,Debit Card,Male,18-25,4
INV-1013,2023-03-01,2023-03-01 21:43:00,Wine,Alcohol,1,11.87,11.87,Regular,Debit Card,Male,18-25,4
INV-1013,2023-03-01,2023-03-01 21:43:00,Wine,Alcohol,3,11.51,34.54,Regular,Debit Card,Male,18-25,4
INV-1013,2023-03-01,2023-03-01 21:43:00,Rice,Pantry,3,4.87,14.62,Regular,Debit Card,Male,18-25,4
INV-1013,2023-03-01,2023-03-01 21:43:00,Eggs,Dairy,1,2.32,2.32,Regular,Debit Card,Male,18-25,4
INV-1013,2023-03-01,2023-03-01 21:43:00,Datergent,Household,3,3.88,11.65,Regular,Debit Card,Male,18-25,4
INV-1014,2023-03-01,2023-03-01 11:45:00,Apples,Produce,2,15.24,30.49,Member,Debit Card,Male,56+,3
INV-1014,2023-03-01,2023-03-01 11:45:00,Potatoes,Produce,2,2.93,5.87,Member,Debit Card,Male,56+,3
INV-1014,2023-03-01,2023-03-01 11:45:00,Soap,Personal Care,3,6.11,18.32,Member,Debit Card,Male,56+,3
INV-1014,2023-03-01,2023-03-01 11:45:00,Pasta,Pantry,1,1.91,1.91,Member,Debit Card,Male,56+,3
INV-1015,2023-03-01,2023-03-01 09:52:00,Butter,Dairy,3,4.96,14.89,Member,Cash,Fmale,56+,5
INV-1015,2023-03-01,2023-03-01 09:52:00,Tomatoes,Produce,3,2.55,7.65,Member,Cash,Fmale,56+,5
INV-1015,2023-03-01,2023-03-01 09:52:00,Chicken,Meat,1,8.81,8.81,Member,Cash,Fmale,56+,5
INV-1015,2023-03-01,2023-03-01 09:52:00,Butter,Dairy,1,5.08,5.08,Member,Cash,Fmale,56+,5
INV-1015,2023-03-01,2023-03-01 09:52:00,Bread,Bakery,1,4.53,4.53,Member,Cash,Fmale,56+,5
INV-1015,2023-03-01,2023-03-01 09:52:00,Oranges,Produce,3,0.99,2.97,Member,Cash,Fmale,56+,5
INV-1015,2023-03-01,2023-03-01 09:52:00,Fish,Seafood,3,10.34,31.01,Member,Cash,Fmale,56+,5
INV-1015,2023-03-01,2023-03-01 09:52:00,Rice,Pantry,3,4.78,14.33,Member,Cash,Fmale,56+,5
INV-1015,2023-03-01,2023-03-01 09:52:00,Soap,Personal Care,1,5.92,5.92,Member,Cash,Fmale,56+,5
INV-1015,2023-03-01,2023-03-01 09:52:00,Chicken,Meat,3,9.38,28.15,Member,Cash,Fmale,56+,5
INV-1015,2023-03-01,2023-03-01 09:52:00,Pasta,Pantry,3,1.89,5.67,Member,Cash,Fmale,56+,5
INV-1015,2023-03-01,2023-03-01 09:52:00,Tomatoes,Produce,1,2.5,2.5,Member,Cash,Fmale,56+,5
INV-1015,2023-03-01,2023-03-01 09:52:00,Bread,Bakery,2,4.57,9.13,Member,Cash,Fmale,56+,5
INV-1016,2023-03-01,2023-03-01 16:11:00,Fish,Seafood,1,10.33,10.33,Member,Debit Card,Male,26-35,3
INV-1016,2023-03-01,2023-03-01 16:11:00,Beer,Alcohol,3,2.06,6.17,Member,Debit Card,Male,26-35,3
INV-1016,2023-03-01,2023-03-01 16:11:00,Bread,Bakery,2,4.49,8.98,Member,Debit Card,Male,26-35,3
INV-1016,2023-03-01,2023-03-01 16:11:00,Fish,Seafood,1,9.64,9.64,Member,Debit Card,Male,26-35,3
INV-1016,2023-03-01,2023-03-01 16:11:00,Bananas,Produce,2,1.98,3.96,Member,Debit Card,Male,26-35,3
INV-1016,2023-03-01,2023-03-01 16:11:00,Juice,Beverages,1,3.65,3.65,Member,Debit Card,Male,26-35,3
INV-1017,2023-03-01,2023-03-01 17:42:00,Toilet Paper,Household,1,9.05,9.05,Member,Debit Card,Male,18-25,3
INV-1017,2023-03-01,2023-03-01 17:42:00,Shampoo,Personal Care,1,5.02,5.02,Member,Debit Card,Male,18-25,3
INV-1017,2023-03-01,2023-03-01 17:42:00,Apples,Produce,3,15.9,47.71,Member,Debit Card,Male,18-25,3
INV-1017,2023-03-01,2023-03-01 17:42:00,Chicken,Meat,2,8.88,17.76,Member,Debit Card,Male,18-25,3
INV-1017,2023-03-01,2023-03-01 17:42:00,Coffee,Beverages,3,8.22,24.67,Member,Debit Card,Male,18-25,3
INV-1017,2023-03-01,2023-03-01 17:42:00,Pasta,Pantry,3,1.99,5.97,Member,Debit Card,Male,18-25,3
INV-1017,2023-03-01,2023-03-01 17:42:00,Potatoes,Produce,2,3.07,6.15,Member,Debit Card,Male,18-25,3
INV-1017,2023-03-01,2023-03-01 17:42:00,Tomatoes,Produce,2,2.43,4.85,Member,Debit Card,Male,18-25,3
INV-1017,2023-03-01,2023-03-01 17:42:00,Soap,Personal Care,2,6.07,12.14,Member,Debit Card,Male,18-25,3
INV-1017,2023-03-01,2023-03-01 17:42:00,Coffee,Beverages,1,7.9,7.9,Member,Debit Card,Male,18-25,3
INV-1017,2023-03-01,2023-03-01 17:42:00,Bread,Bakery,3,4.61,13.84,Member,Debit Card,Male,18-25,3
INV-1017,2023-03-01,2023-03-01 17:42:00,Soap,Personal Care,2,5.7,11.4,Member,Debit Card,Male,18-25,3
INV-1018,2023-03-01,2023-03-01 21:08:00,Shampoo,Personal Care,1,5.04,5.04,Member,Credit Cart,Fmale,36-45,4
INV-1018,2023-03-01,2023-03-01 21:08:00,Sugar,Pantry,3,3.12,9.37,Member,Credit Cart,Fmale,36-45,4
INV-1018,2023-03-01,2023-03-01 21:08:00,Fish,Seafood,1,10.32,10.32,Member,Credit Cart,Fmale,36-45,4
INV-1018,2023-03-01,2023-03-01 21:08:00,Potatoes,Produce,3,3.05,9.14,Member,Credit Cart,Fmale,36-45,4
INV-1018,2023-03-01,2023-03-01 21:08:00,Tea,Beverages,2,5.15,10.29,Member,Credit Cart,Fmale,36-45,4
INV-1018,2023-03-01,2023-03-01 21:08:00,Bananas,Produce,3,1.93,5.8,Member,Credit Cart,Fmale,36-45,4
INV-1018,2023-03-01,2023-03-01 21:08:00,Flour,Pantry,2,3.89,7.77,Member,Credit Cart,Fmale,36-45,4
INV-1018,2023-03-01,2023-03-01 21:08:00,Juice,Beverages,1,3.65,3.65,Member,Credit Cart,Fmale,36-45,4
INV-1019,2023-03-01,2023-03-01 14:00:00,Juice,Beverages,3,3.59,10.76,Regular,Debit Card,Male,46-55,4
INV-1019,2023-03-01,2023-03-01 14:00:00,Bread,Bakery,3,4.67,14.01,Regular,Debit Card,Male,46-55,4
INV-1019,2023-03-01,2023-03-01 14:00:00,Beer,Alcohol,1,1.94,1.94,Regular,Debit Card,Male,46-55,4
INV-1019,2023-03-01,2023-03-01 14:00:00,Tea,Beverages,1,4.95,4.95,Regular,Debit Card,Male,46-55,4
INV-1019,2023-03-01,2023-03-01 14:00:00,Shampoo,Personal Care,2,4.95,9.9,Regular,Debit Card,Male,46-55,4
INV-1019,2023-03-01,2023-03-01 14:00:00,Yagurt,Dairy,3,2.01,6.03,Regular,Debit Card,Male,46-55,4
INV-1019,2023-03-01,2023-03-01 14:00:00,Rice,Pantry,3,5.04,15.13,Regular,Debit Card,Male,46-55,4
INV-1019,2023-03-01,2023-03-01 14:00:00,Tea,Beverages,2,5.09,10.18,Regular,Debit Card,Male,46-55,4
INV-1019,2023-03-01,2023-03-01 14:00:00,Toilet Paper,Household,2,8.93,17.86,Regular,Debit Card,Male,46-55,4
INV-1019,2023-03-01,2023-03-01 14:00:00,Yagurt,Dairy,2,2.06,4.12,Regular,Debit Card,Male,46-55,4
INV-1019,2023-03-01,2023-03-01 14:00:00,Shampoo,Personal Care,3,4.78,14.34,Regular,Debit Card,Male,46-55,4
INV-1019,2023-03-01,2023-03-01 14:00:00,Soap,Personal Care,3,6.06,18.18,Regular,Debit Card,Male,46-55,4
INV-1019,2023-03-01,2023-03-01 14:00:00,Bananas,Produce,2,2.04,4.08,Regular,Debit Card,Male,46-55,4
INV-1020,2023-03-01,2023-03-01 18:41:00,Sugar,Pantry,2,2.84,5.69,Member,Credit Cart,Male,46-55,4
INV-1020,2023-03-01,2023-03-01 18:41:00,Butter,Dairy,1,4.82,4.82,Member,Credit Cart,Male,46-55,4
INV-1020,2023-03-01,2023-03-01 18:41:00,Apples,Produce,1,15.77,15.77,Member,Credit Cart,Male,46-55,4
INV-1020,2023-03-01,2023-03-01 18:41:00,Beef,Meat,2,13.38,26.77,Member,Credit Cart,Male,46-55,4
INV-1020,2023-03-01,2023-03-01 18:41:00,Juice,Beverages,2,3.37,6.74,Member,Credit Cart,Male,46-55,4
INV-1020,2023-03-01,2023-03-01 18:41:00,Water,Beverages,1,1.02,1.02,Member,Credit Cart,Male,46-55,4
INV-1020,2023-03-01,2023-03-01 18:41:00,Datergent,Household,1,3.93,3.93,Member,Credit Cart,Male,46-55,4
INV-1020,2023-03-01,2023-03-01 18:41:00,Apples,Produce,1,15.34,15.34,Member,Credit Cart,Male,46-55,4
INV-1020,2023-03-01,2023-03-01 18:41:00,Soap,Personal Care,2,5.73,11.47,Member,Credit Cart,Male,46-55,4
INV-1020,2023-03-01,2023-03-01 18:41:00,Rice,Pantry,3,4.79,14.37,Member,Credit Cart,Male,46-55,4
INV-1020,2023-03-01,2023-03-01 18:41:00,Tea,Beverages,1,4.97,4.97,Member,Credit Cart,Male,46-55,4
INV-1020,2023-03-01,2023-03-01 18:41:00,Yagurt,Dairy,3,2.01,6.04,Member,Credit Cart,Male,46-55,4
INV-1020,2023-03-01,2023-03-01 18:41:00,Potatoes,Produce,3,3.13,9.38,Member,Credit Cart,Male,46-55,4
INV-1021,2023-03-01,2023-03-01 13:54:00,Soap,Personal Care,2,5.79,11.57,Member,Credit Cart,Fmale,56+,4
INV-1021,2023-03-01,2023-03-01 13:54:00,Chicken,Meat,1,9.4,9.4,Member,Credit Cart,Fmale,56+,4
INV-1021,2023-03-01,2023-03-01 13:54:00,Beef,Meat,2,12.65,25.3,Member,Credit Cart,Fmale,56+,4
INV-1021,2023-03-01,2023-03-01 13:54:00,Tea,Beverages,1,5.12,5.12,Member,Credit Cart,Fmale,56+,4
INV-1021,2023-03-01,2023-03-01 13:54:00,Cheese,Dairy,3,5.91,17.74,Member,Credit Cart,Fmale,56+,4
INV-1021,2023-03-01,2023-03-01 13:54:00,Toothpaste,Personal Care,2,2.49,4.98,Member,Credit Cart,Fmale,56+,4
INV-1022,2023-03-01,2023-03-01 13:05:00,Tomatoes,Produce,3,2.39,7.18,Member,Debit Card,Fmale,18-25,5
INV-1022,2023-03-01,2023-03-01 13:05:00,Toilet Paper,Household,1,8.78,8.78,Member,Debit Card,Fmale,18-25,5
INV-1022,2023-03-01,2023-03-01 13:05:00,Toothpaste,Personal Care,1,2.51,2.51,Member,Debit Card,Fmale,18-25,5
INV-1022,2023-03-01,2023-03-01 13:05:00,Tea,Beverages,2,5.03,10.05,Member,Debit Card,Fmale,18-25,5
INV-1022,2023-03-01,2023-03-01 13:05:00,Datergent,Household,3,4.12,12.37,Member,Debit Card,Fmale,18-25,5
INV-1022,2023-03-01,2023-03-01 13:05:00,Juice,Beverages,2,3.64,7.27,Member,Debit Card,Fmale,18-25,5
INV-1023,2023-03-01,2023-03-01 13:18:00,Shampoo,Personal Care,2,5.13,10.25,Regular,Credit Cart,Male,56+,3
INV-1024,2023-03-01,2023-03-01 09:56:00,Sugar,Pantry,1,3.1,3.1,Member,Debit Card,Fmale,18-25,4
INV-1024,2023-03-01,2023-03-01 09:56:00,Eggs,Dairy,1,2.27,2.27,Member,Debit Card,Fmale,18-25,4
INV-1024,2023-03-01,2023-03-01 09:56:00,Sugar,Pantry,3,2.96,8.87,Member,Debit Card,Fmale,18-25,4
INV-1024,2023-03-01,2023-03-01 09:56:00,Tea,Beverages,2,5.07,10.15,Member,Debit Card,Fmale,18-25,4
INV-1024,2023-03-01,2023-03-01 09:56:00,Bananas,Produce,3,2.03,6.09,Member,Debit Card,Fmale,18-25,4
INV-1024,2023-03-01,2023-03-01 09:56:00,Juice,Beverages,2,3.61,7.21,Member,Debit Card,Fmale,18-25,4
INV-1024,2023-03-01,2023-03-01 09:56:00,Tea,Beverages,2,4.87,9.75,Member,Debit Card,Fmale,18-25,4
INV-1024,2023-03-01,2023-03-01 09:56:00,Toothpaste,Personal Care,1,2.57,2.57,Member,Debit Card,Fmale,18-25,4
