order_id,date,book,author,category,quantity,unit_price,total_sales,customer_type,payment_method,customer_gender,customer_age,book_format,rating
ORD-1018,2023-01-01,The Great Gatsby,F. Scott Fitzgerald,Classic,1,17.65,17.65,Regular,Credit Card,Female,46-55,Hardcover,3
ORD-1019,2023-01-01,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,1,25.47,25.47,Regular,Credit Card,Female,46-55,Hardcover,3
ORD-1020,2023-01-01,The Chronicles of Narnia,C.S. Lewis,Fantasy,1,26.26,26.26,Regular,Credit Card,Female,46-55,Hardcover,3
ORD-1021,2023-01-01,1984,George Orwell,Dystopian,3,11.93,35.79,Teacher,Credit Card,Female,18-25,Paperback,3
ORD-1022,2023-01-01,The Stand,Stephen King,Horror,1,18.32,18.32,Teacher,Credit Card,Female,18-25,Paperback,3
ORD-1023,2023-01-01,Pride and Prejudice,Jane Austen,Classic,3,19.21,57.64,Teacher,Credit Card,Male,18-25,Hardcover,4
ORD-1024,2023-01-01,To Kill a Mockingbird,Harper Lee,Classic,1,24.41,24.41,Teacher,Credit Card,Male,18-25,Hardcover,4
ORD-1025,2023-01-01,The Da Vinci Code,Dan Brown,Thriller,1,15.47,15.47,Regular,Credit Card,Male,46-55,Paperback,4
ORD-1026,2023-01-01,Brave New World,Aldous Huxley,Dystopian,1,16.98,16.98,Regular,Credit Card,Female,"26,35",Hardcover,3
ORD-1027,2023-01-01,The Little Prince,Antoine de Saint-Exupéry,Fiction,1,16.19,16.19,Regular,Credit Card,Female,"26,35",Hardcover,3
ORD-1028,2023-01-01,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,1,25.99,25.99,Regular,Credit Card,Female,"26,35",Hardcover,3
ORD-1029,2023-01-01,The Road,Cormac McCarthy,Post-Apocalyptic,1,18.56,18.56,Regular,Credit Card,Female,"26,35",Hardcover,3
ORD-1030,2023-01-01,Brave New World,Aldous Huxley,Dystopian,1,11.61,11.61,Regular,Paypal,Female,56+,Paperback,4
ORD-1031,2023-01-01,Brave New World,Aldous Huxley,Dystopian,1,12.62,12.62,Regular,Cach,Male,56+,Paperback,5
ORD-1032,2023-01-01,1984,George Orwell,Dystopian,1,10.69,10.69,Regular,Cach,Male,56+,Paperback,5
ORD-1033,2023-01-01,The Road,Cormac McCarthy,Post-Apocalyptic,1,12.91,12.91,Regular,Cach,Male,56+,Paperback,5
ORD-1034,2023-01-01,The Shining,Stephen King,Horror,1,12.21,12.21,Regular,Cach,Male,56+,Paperback,5
ORD-1035,2023-01-01,The Catcher in the Rye,J.D. Salinger,Classic,1,22.37,22.37,Regular,Debit Card,Male,46-55,Hardcover,5
ORD-1036,2023-01-01,The Hunger Games,Suzanne Collins,Young Adult,1,19.65,19.65,Regular,Debit Card,Male,46-55,Hardcover,5
ORD-1037,2023-01-01,The Lord of the Rings,J.R.R. Tolkien,Fantasy,1,20.38,20.38,Teacher,Debit Card,Female,36-45,Paperback,4
ORD-1038,2023-01-01,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,2,15.98,31.95,Teacher,Debit Card,Female,36-45,Paperback,4
ORD-1039,2023-01-01,The Handmaid's Tale,Margaret Atwood,Dystopian,1,12.72,12.72,Teacher,Debit Card,Female,36-45,Paperback,4
ORD-1040,2023-01-01,The Shining,Stephen King,Horror,1,13.31,13.31,Teacher,Debit Card,Female,36-45,Paperback,4
ORD-1041,2023-01-01,The Little Prince,Antoine de Saint-Exupéry,Fiction,1,9.15,9.15,Teacher,Debit Card,Male,46-55,Paperback,4
ORD-1042,2023-01-01,1984,George Orwell,Dystopian,1,11.26,11.26,Teacher,Debit Card,Male,46-55,Paperback,4
ORD-1043,2023-01-01,To Kill a Mockingbird,Harper Lee,Classic,1,13.75,13.75,Teacher,Debit Card,Male,46-55,Paperback,4
ORD-1044,2023-01-01,The Lord of the Rings,J.R.R. Tolkien,Fantasy,1,20.47,20.47,Teacher,Debit Card,Male,46-55,Paperback,4
ORD-1045,2023-01-01,The Great Gatsby,F. Scott Fitzgerald,Classic,1,13.87,13.87,Student,Debit Card,Male,36-45,Paperback,3
ORD-1046,2023-01-01,The Alchemist,Paulo Coelho,Fiction,1,12.38,12.38,Student,Debit Card,Male,36-45,Paperback,3
ORD-1047,2023-01-01,The Road,Cormac McCarthy,Post-Apocalyptic,1,12.27,12.27,Student,Debit Card,Male,36-45,Paperback,3
ORD-1048,2023-01-01,The Chronicles of Narnia,C.S. Lewis,Fantasy,1,26.79,26.79,Student,Credit Card,Male,18-25,Hardcover,5
ORD-1049,2023-01-01,To Kill a Mockingbird,Harper Lee,Classic,1,22.47,22.47,Student,Credit Card,Male,18-25,Hardcover,5
ORD-1050,2023-01-01,The Little Prince,Antoine de Saint-Exupéry,Fiction,1,15.6,15.6,Regular,Credit Card,Male,36-45,Hardcover,5
ORD-1051,2023-01-01,The Shining,Stephen King,Horror,1,20.74,20.74,Regular,Credit Card,Male,36-45,Hardcover,5
ORD-1052,2023-01-01,The Catcher in the Rye,J.D. Salinger,Classic,1,19.03,19.03,Regular,Credit Card,Male,36-45,Hardcover,5
ORD-1053,2023-01-01,It,Stephen King,Horror,1,25.2,25.2,Regular,Credit Card,Male,36-45,Hardcover,5
ORD-1054,2023-01-01,The Handmaid's Tale,Margaret Atwood,Dystopian,1,21.86,21.86,Regular,Credit Card,Male,36-45,Hardcover,5
ORD-1055,2023-01-01,The Kite Runner,Khaled Hosseini,Fiction,1,12.17,12.17,Regular,Credit Card,Male,46-55,Paperback,3
ORD-1056,2023-01-01,The Catcher in the Rye,J.D. Salinger,Classic,1,15.2,15.2,Regular,Credit Card,Male,46-55,Paperback,3
ORD-1057,2023-01-01,The Shining,Stephen King,Horror,3,20.54,61.61,Regular,Debit Card,Male,56+,Hardcover,4
ORD-1058,2023-01-01,The Da Vinci Code,Dan Brown,Thriller,1,24.61,24.61,Regular,Debit Card,Male,56+,Hardcover,4
ORD-1059,2023-01-01,The Shining,Stephen King,Horror,1,19.17,19.17,Collector,Credit Card,Male,56+,Hardcover,3
ORD-1060,2023-01-01,The Stand,Stephen King,Horror,1,28.44,28.44,Regular,Credit Card,Male,46-55,Hardcover,4
ORD-1061,2023-01-02,The Martian,Andy Weir,Science Fiction,1,16.48,16.48,Regular,Cach,Female,36-45,Paperback,3
ORD-1062,2023-01-02,The Hobbit,J.R.R. Tolkien,Fantasy,2,15.56,31.12,Regular,Credit Card,Female,56+,Paperback,5
ORD-1063,2023-01-02,Pride and Prejudice,Jane Austen,Classic,1,19.75,19.75,Regular,Debit Card,Female,36-45,Hardcover,4
ORD-1064,2023-01-02,The Martian,Andy Weir,Science Fiction,1,21.77,21.77,Regular,Debit Card,Female,36-45,Hardcover,4
ORD-1065,2023-01-02,The Fault in Our Stars,John Green,Young Adult,1,18.45,18.45,Regular,Debit Card,Female,36-45,Hardcover,4
ORD-1066,2023-01-02,The Chronicles of Narnia,C.S. Lewis,Fantasy,1,18.64,18.64,Regular,Credit Card,Male,46-55,Paperback,5
ORD-1067,2023-01-02,The Hunger Games,Suzanne Collins,Young Adult,1,13.63,13.63,Regular,Credit Card,Male,46-55,Paperback,5
ORD-1068,2023-01-02,The Stand,Stephen King,Horror,1,19.27,19.27,Regular,Credit Card,Male,46-55,Paperback,5
ORD-1069,2023-01-02,1984,George Orwell,Dystopian,1,11.71,11.71,Student,Debit Card,Male,56+,Paperback,5
ORD-1070,2023-01-02,The Da Vinci Code,Dan Brown,Thriller,1,15.58,15.58,Student,Debit Card,Male,56+,Paperback,5
ORD-1071,2023-01-02,The Catcher in the Rye,J.D. Salinger,Classic,3,13.77,41.32,Student,Debit Card,Male,56+,Paperback,5
ORD-1072,2023-01-02,The Hunger Games,Suzanne Collins,Young Adult,1,14.74,14.74,Student,Debit Card,Male,56+,Paperback,5
ORD-1073,2023-01-02,To Kill a Mockingbird,Harper Lee,Classic,1,23.94,23.94,Regular,Credit Card,Male,18-25,Hardcover,5
ORD-1074,2023-01-02,Pride and Prejudice,Jane Austen,Classic,1,18.8,18.8,Regular,Credit Card,Male,18-25,Hardcover,5
ORD-1075,2023-01-02,The Little Prince,Antoine de Saint-Exupéry,Fiction,1,15.1,15.1,Regular,Credit Card,Male,18-25,Hardcover,5
ORD-1076,2023-01-02,The Stand,Stephen King,Horror,1,32.45,32.45,Regular,Credit Card,Male,18-25,Hardcover,5
ORD-1077,2023-01-02,The Book Thief,Markus Zusak,Historical Fiction,1,20.78,20.78,Regular,Credit Card,Male,18-25,Hardcover,5
ORD-1078,2023-01-02,The Catcher in the Rye,J.D. Salinger,Classic,1,13.31,13.31,Student,Cach,Female,"26,35",Paperback,5
ORD-1079,2023-01-02,The Road,Cormac McCarthy,Post-Apocalyptic,2,11.85,23.69,Student,Cach,Female,"26,35",Paperback,5
ORD-1080,2023-01-02,The Book Thief,Markus Zusak,Historical Fiction,1,14.36,14.36,Student,Cach,Female,"26,35",Paperback,5
ORD-1081,2023-01-02,Brave New World,Aldous Huxley,Dystopian,1,17.49,17.49,Collector,Paypal,Female,18-25,Hardcover,4
ORD-1082,2023-01-02,It,Stephen King,Horror,1,24.29,24.29,Collector,Paypal,Female,18-25,Hardcover,4
ORD-1083,2023-01-02,The Kite Runner,Khaled Hosseini,Fiction,1,13.78,13.78,Regular,Paypal,Female,18-25,Paperback,5
ORD-1084,2023-01-02,The Handmaid's Tale,Margaret Atwood,Dystopian,1,13.47,13.47,Regular,Paypal,Female,18-25,Paperback,5
ORD-1085,2023-01-02,The Da Vinci Code,Dan Brown,Thriller,2,21.74,43.47,Student,Cach,Female,18-25,Hardcover,5
ORD-1086,2023-01-02,Gone Girl,Gillian Flynn,Thriller,1,22.37,22.37,Student,Cach,Female,18-25,Hardcover,5
ORD-1087,2023-01-02,The Handmaid's Tale,Margaret Atwood,Dystopian,1,19.63,19.63,Student,Cach,Female,18-25,Hardcover,5
ORD-1088,2023-01-02,The Fault in Our Stars,John Green,Young Adult,1,17.7,17.7,Student,Cach,Female,18-25,Hardcover,5
ORD-1089,2023-01-02,The Chronicles of Narnia,C.S. Lewis,Fantasy,1,27.96,27.96,Student,Debit Card,Female,46-55,Hardcover,5
ORD-1090,2023-01-02,The Handmaid's Tale,Margaret Atwood,Dystopian,1,19.23,19.23,Student,Debit Card,Female,46-55,Hardcover,5
ORD-1091,2023-01-02,It,Stephen King,Horror,1,28.76,28.76,Student,Debit Card,Female,46-55,Hardcover,5
ORD-1092,2023-01-02,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,1,26.29,26.29,Student,Debit Card,Female,46-55,Hardcover,5
ORD-1093,2023-01-02,The Stand,Stephen King,Horror,1,29.11,29.11,Student,Debit Card,Female,46-55,Hardcover,5
ORD-1094,2023-01-02,The Kite Runner,Khaled Hosseini,Fiction,1,13.63,13.63,Teacher,Paypal,Female,"26,35",Paperback,3
ORD-1095,2023-01-02,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,1,14.46,14.46,Teacher,Paypal,Female,"26,35",Paperback,3
ORD-1096,2023-01-02,Gone Girl,Gillian Flynn,Thriller,1,14.94,14.94,Teacher,Paypal,Female,"26,35",Paperback,3
ORD-1097,2023-01-02,The Hunger Games,Suzanne Collins,Young Adult,1,13.42,13.42,Student,Debit Card,Female,36-45,Paperback,4
ORD-1098,2023-01-02,The Stand,Stephen King,Horror,3,19.77,59.31,Student,Debit Card,Female,36-45,Paperback,4
ORD-1099,2023-01-02,The Catcher in the Rye,J.D. Salinger,Classic,1,14.24,14.24,Student,Debit Card,Female,36-45,Paperback,4
ORD-1100,2023-01-02,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,1,14.79,14.79,Student,Debit Card,Female,36-45,Paperback,4
ORD-1101,2023-01-02,The Book Thief,Markus Zusak,Historical Fiction,1,15.3,15.3,Student,Debit Card,Female,36-45,Paperback,4
ORD-1102,2023-01-02,Pride and Prejudice,Jane Austen,Classic,1,11.84,11.84,Regular,Credit Card,Male,18-25,Paperback,4
ORD-1103,2023-01-03,The Catcher in the Rye,J.D. Salinger,Classic,1,15.03,15.03,Regular,Credit Card,Female,36-45,Paperback,4
ORD-1104,2023-01-03,The Chronicles of Narnia,C.S. Lewis,Fantasy,1,17.93,17.93,Regular,Credit Card,Female,36-45,Paperback,4
ORD-1105,2023-01-03,1984,George Orwell,Dystopian,1,11.96,11.96,Regular,Credit Card,Female,36-45,Paperback,4
ORD-1106,2023-01-03,The Fault in Our Stars,John Green,Young Adult,1,11.83,11.83,Regular,Credit Card,Female,36-45,Paperback,4
ORD-1107,2023-01-03,The Kite Runner,Khaled Hosseini,Fiction,1,12.28,12.28,Regular,Credit Card,Female,36-45,Paperback,4
ORD-1108,2023-01-03,The Road,Cormac McCarthy,Post-Apocalyptic,1,11.84,11.84,Regular,Paypal,Male,36-45,Paperback,3
ORD-1109,2023-01-03,The Little Prince,Antoine de Saint-Exupéry,Fiction,1,9.63,9.63,Regular,Paypal,Male,36-45,Paperback,3
ORD-1110,2023-01-03,Pride and Prejudice,Jane Austen,Classic,1,11.82,11.82,Regular,Debit Card,Female,46-55,Paperback,4
ORD-1111,2023-01-03,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,1,15.09,15.09,Regular,Debit Card,Female,46-55,Paperback,4
ORD-1112,2023-01-03,The Chronicles of Narnia,C.S. Lewis,Fantasy,1,15.84,15.84,Regular,Debit Card,Female,46-55,Paperback,4
ORD-1113,2023-01-03,The Kite Runner,Khaled Hosseini,Fiction,1,12.44,12.44,Regular,Debit Card,Female,46-55,Paperback,4
ORD-1114,2023-01-03,Brave New World,Aldous Huxley,Dystopian,1,11.3,11.3,Regular,Debit Card,Female,46-55,Paperback,4
ORD-1115,2023-01-03,The Handmaid's Tale,Margaret Atwood,Dystopian,1,14.81,14.81,Teacher,Credit Card,Female,56+,Paperback,5
ORD-1116,2023-01-03,The Martian,Andy Weir,Science Fiction,1,16.22,16.22,Collector,Credit Card,Male,36-45,Paperback,5
ORD-1117,2023-01-03,Pride and Prejudice,Jane Austen,Classic,2,11.37,22.75,Student,Credit Card,Female,"26,35",Paperback,5
ORD-1118,2023-01-03,The Kite Runner,Khaled Hosseini,Fiction,3,13.05,39.14,Student,Credit Card,Female,"26,35",Paperback,5
ORD-1119,2023-01-03,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,1,15.12,15.12,Student,Credit Card,Female,"26,35",Paperback,5
ORD-1120,2023-01-03,The Shining,Stephen King,Horror,1,13.0,13.0,Student,Credit Card,Female,"26,35",Paperback,5
ORD-1121,2023-01-03,To Kill a Mockingbird,Harper Lee,Classic,1,15.28,15.28,Student,Credit Card,Female,"26,35",Paperback,5
ORD-1122,2023-01-03,The Road,Cormac McCarthy,Post-Apocalyptic,1,11.97,11.97,Teacher,Credit Card,Female,18-25,Paperback,5
ORD-1123,2023-01-03,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,1,16.25,16.25,Student,Credit Card,Male,46-55,Paperback,3
ORD-1124,2023-01-03,Gone Girl,Gillian Flynn,Thriller,2,15.19,30.38,Student,Credit Card,Male,46-55,Paperback,3
ORD-1125,2023-01-03,The Da Vinci Code,Dan Brown,Thriller,1,13.89,13.89,Student,Credit Card,Male,46-55,Paperback,3
ORD-1126,2023-01-03,The Book Thief,Markus Zusak,Historical Fiction,1,14.03,14.03,Student,Credit Card,Male,46-55,Paperback,3
ORD-1127,2023-01-03,The Great Gatsby,F. Scott Fitzgerald,Classic,2,13.51,27.01,Student,Credit Card,Male,46-55,Paperback,3
ORD-1128,2023-01-04,The Shining,Stephen King,Horror,1,12.79,12.79,Regular,Debit Card,Female,36-45,Paperback,5
ORD-1129,2023-01-04,The Martian,Andy Weir,Science Fiction,1,14.59,14.59,Regular,Debit Card,Female,36-45,Paperback,5
ORD-1130,2023-01-04,The Martian,Andy Weir,Science Fiction,1,12.8,12.8,Student,Debit Card,Female,46-55,E-book,3
ORD-1131,2023-01-04,The Road,Cormac McCarthy,Post-Apocalyptic,1,9.03,9.03,Student,Debit Card,Female,46-55,E-book,3
ORD-1132,2023-01-04,The Chronicles of Narnia,C.S. Lewis,Fantasy,1,14.31,14.31,Regular,Debit Card,Male,56+,E-book,4
ORD-1133,2023-01-04,The Little Prince,Antoine de Saint-Exupéry,Fiction,3,7.91,23.72,Regular,Debit Card,Male,56+,E-book,4
ORD-1134,2023-01-04,The Fault in Our Stars,John Green,Young Adult,1,14.02,14.02,Student,Debit Card,Male,18-25,Paperback,4
ORD-1135,2023-01-04,Brave New World,Aldous Huxley,Dystopian,1,18.49,18.49,Student,Credit Card,Male,56+,Hardcover,3
ORD-1136,2023-01-04,The Handmaid's Tale,Margaret Atwood,Dystopian,1,19.03,19.03,Student,Credit Card,Male,56+,Hardcover,3
ORD-1137,2023-01-04,The Martian,Andy Weir,Science Fiction,1,20.45,20.45,Regular,Debit Card,Female,"26,35",Hardcover,5
ORD-1138,2023-01-04,The Stand,Stephen King,Horror,1,27.42,27.42,Regular,Debit Card,Female,"26,35",Hardcover,5
ORD-1139,2023-01-04,1984,George Orwell,Dystopian,1,16.5,16.5,Regular,Debit Card,Female,"26,35",Hardcover,5
ORD-1140,2023-01-04,The Kite Runner,Khaled Hosseini,Fiction,1,17.9,17.9,Regular,Debit Card,Female,"26,35",Hardcover,5
ORD-1141,2023-01-04,The Shining,Stephen King,Horror,1,20.5,20.5,Regular,Debit Card,Female,"26,35",Hardcover,5
ORD-1142,2023-01-04,The Chronicles of Narnia,C.S. Lewis,Fantasy,1,12.6,12.6,Collector,Credit Card,Female,"26,35",E-book,3
ORD-1143,2023-01-04,The Handmaid's Tale,Margaret Atwood,Dystopian,1,10.1,10.1,Collector,Credit Card,Female,"26,35",E-book,3
ORD-1144,2023-01-04,To Kill a Mockingbird,Harper Lee,Classic,1,12.02,12.02,Collector,Credit Card,Female,"26,35",E-book,3
ORD-1145,2023-01-04,The Shining,Stephen King,Horror,1,10.3,10.3,Collector,Credit Card,Female,"26,35",E-book,3
ORD-1146,2023-01-04,The Kite Runner,Khaled Hosseini,Fiction,1,11.15,11.15,Collector,Credit Card,Female,"26,35",E-book,3
ORD-1147,2023-01-04,The Little Prince,Antoine de Saint-Exupéry,Fiction,1,9.1,9.1,Collector,Debit Card,Male,18-25,Paperback,4
ORD-1148,2023-01-04,The Handmaid's Tale,Margaret Atwood,Dystopian,1,15.02,15.02,Collector,Debit Card,Male,18-25,Paperback,4
ORD-1149,2023-01-05,The Hobbit,J.R.R. Tolkien,Fantasy,1,16.74,16.74,Student,Credit Card,Female,"26,35",Paperback,4
ORD-1150,2023-01-05,Brave New World,Aldous Huxley,Dystopian,2,11.46,22.91,Student,Credit Card,Female,"26,35",Paperback,4
ORD-1151,2023-01-05,It,Stephen King,Horror,1,19.48,19.48,Student,Credit Card,Female,"26,35",Paperback,4
ORD-1152,2023-01-05,The Kite Runner,Khaled Hosseini,Fiction,1,17.82,17.82,Teacher,Cach,Female,46-55,Hardcover,4
ORD-1153,2023-01-05,The Fault in Our Stars,John Green,Young Adult,1,19.89,19.89,Teacher,Cach,Female,46-55,Hardcover,4
ORD-1154,2023-01-05,The Catcher in the Rye,J.D. Salinger,Classic,1,20.24,20.24,Teacher,Cach,Female,46-55,Hardcover,4
ORD-1155,2023-01-05,The Lord of the Rings,J.R.R. Tolkien,Fantasy,1,31.46,31.46,Student,Debit Card,Female,56+,Hardcover,5
ORD-1156,2023-01-05,The Hobbit,J.R.R. Tolkien,Fantasy,1,25.02,25.02,Student,Debit Card,Female,56+,Hardcover,5
ORD-1157,2023-01-05,The Kite Runner,Khaled Hosseini,Fiction,1,20.0,20.0,Student,Debit Card,Female,56+,Hardcover,5
ORD-1158,2023-01-05,The Stand,Stephen King,Horror,1,31.03,31.03,Student,Debit Card,Female,56+,Hardcover,5
ORD-1159,2023-01-05,The Hunger Games,Suzanne Collins,Young Adult,1,22.39,22.39,Student,Debit Card,Female,56+,Hardcover,5
ORD-1160,2023-01-05,To Kill a Mockingbird,Harper Lee,Classic,1,13.89,13.89,Regular,Credit Card,Male,36-45,Paperback,5
ORD-1161,2023-01-05,Brave New World,Aldous Huxley,Dystopian,1,13.16,13.16,Regular,Credit Card,Male,36-45,Paperback,5
ORD-1162,2023-01-05,The Martian,Andy Weir,Science Fiction,2,15.6,31.21,Regular,Credit Card,Male,36-45,Paperback,5
ORD-1163,2023-01-05,1984,George Orwell,Dystopian,1,12.0,12.0,Student,Debit Card,Male,18-25,Paperback,4
ORD-1164,2023-01-05,The Da Vinci Code,Dan Brown,Thriller,1,15.64,15.64,Student,Debit Card,Male,18-25,Paperback,4
ORD-1165,2023-01-05,The Road,Cormac McCarthy,Post-Apocalyptic,1,11.61,11.61,Collector,Paypal,Female,56+,Paperback,5
ORD-1166,2023-01-05,The Fault in Our Stars,John Green,Young Adult,1,13.74,13.74,Collector,Paypal,Female,56+,Paperback,5
ORD-1167,2023-01-05,Gone Girl,Gillian Flynn,Thriller,1,13.81,13.81,Collector,Paypal,Female,56+,Paperback,5
ORD-1168,2023-01-05,The Martian,Andy Weir,Science Fiction,1,15.42,15.42,Collector,Paypal,Female,56+,Paperback,5
ORD-1169,2023-01-05,The Hobbit,J.R.R. Tolkien,Fantasy,1,16.64,16.64,Teacher,Credit Card,Female,36-45,Paperback,3
ORD-1170,2023-01-05,The Book Thief,Markus Zusak,Historical Fiction,1,13.4,13.4,Teacher,Credit Card,Female,36-45,Paperback,3
ORD-1171,2023-01-05,The Alchemist,Paulo Coelho,Fiction,2,12.75,25.5,Teacher,Credit Card,Female,36-45,Paperback,3
ORD-1172,2023-01-05,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,1,17.22,17.22,Teacher,Credit Card,Female,36-45,Paperback,3
ORD-1173,2023-01-05,The Kite Runner,Khaled Hosseini,Fiction,1,17.64,17.64,Regular,Paypal,Male,"26,35",Hardcover,4
ORD-1174,2023-01-05,The Fault in Our Stars,John Green,Young Adult,1,19.5,19.5,Regular,Paypal,Male,"26,35",Hardcover,4
ORD-1175,2023-01-05,The Hunger Games,Suzanne Collins,Young Adult,1,22.87,22.87,Regular,Paypal,Male,"26,35",Hardcover,4
ORD-1176,2023-01-05,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,1,26.43,26.43,Regular,Paypal,Male,"26,35",Hardcover,4
ORD-1177,2023-01-05,The Lord of the Rings,J.R.R. Tolkien,Fantasy,3,19.34,58.03,Regular,Credit Card,Female,18-25,Paperback,3
ORD-1178,2023-01-05,The Catcher in the Rye,J.D. Salinger,Classic,1,13.56,13.56,Regular,Credit Card,Female,18-25,Paperback,3
ORD-1179,2023-01-05,To Kill a Mockingbird,Harper Lee,Classic,1,16.12,16.12,Collector,Debit Card,Male,56+,Paperback,3
ORD-1180,2023-01-05,The Book Thief,Markus Zusak,Historical Fiction,1,12.91,12.91,Collector,Debit Card,Male,56+,Paperback,3
ORD-1181,2023-01-05,The Kite Runner,Khaled Hosseini,Fiction,1,13.02,13.02,Collector,Debit Card,Male,56+,Paperback,3
ORD-1182,2023-01-05,Gone Girl,Gillian Flynn,Thriller,1,15.43,15.43,Teacher,Cach,Male,"26,35",Paperback,4
ORD-1183,2023-01-05,The Chronicles of Narnia,C.S. Lewis,Fantasy,1,15.32,15.32,Teacher,Cach,Male,"26,35",Paperback,4
ORD-1184,2023-01-05,The Martian,Andy Weir,Science Fiction,1,14.09,14.09,Teacher,Cach,Male,"26,35",Paperback,4
ORD-1185,2023-01-05,It,Stephen King,Horror,1,17.62,17.62,Teacher,Cach,Male,"26,35",Paperback,4
ORD-1186,2023-01-05,The Shining,Stephen King,Horror,1,12.81,12.81,Student,Debit Card,Female,"26,35",Paperback,5
ORD-1187,2023-01-05,The Hunger Games,Suzanne Collins,Young Adult,1,13.7,13.7,Student,Debit Card,Female,"26,35",Paperback,5
ORD-1188,2023-01-05,The Book Thief,Markus Zusak,Historical Fiction,1,14.7,14.7,Student,Paypal,Male,18-25,Paperback,5
ORD-1189,2023-01-05,The Hunger Games,Suzanne Collins,Young Adult,1,13.79,13.79,Student,Paypal,Male,18-25,Paperback,5
ORD-1190,2023-01-05,1984,George Orwell,Dystopian,1,10.85,10.85,Student,Paypal,Male,18-25,Paperback,5
ORD-1191,2023-01-05,The Hobbit,J.R.R. Tolkien,Fantasy,1,15.37,15.37,Student,Paypal,Male,18-25,Paperback,5
ORD-1192,2023-01-05,The Shining,Stephen King,Horror,3,13.91,41.73,Student,Paypal,Male,18-25,Paperback,5
ORD-1193,2023-01-05,The Little Prince,Antoine de Saint-Exupéry,Fiction,1,10.84,10.84,Regular,Credit Card,Female,"26,35",Paperback,4
ORD-1194,2023-01-05,The Martian,Andy Weir,Science Fiction,1,16.33,16.33,Regular,Credit Card,Female,"26,35",Paperback,4
ORD-1195,2023-01-06,The Handmaid's Tale,Margaret Atwood,Dystopian,1,20.67,20.67,Teacher,Debit Card,Female,46-55,Hardcover,3
ORD-1196,2023-01-06,The Catcher in the Rye,J.D. Salinger,Classic,2,19.1,38.21,Teacher,Debit Card,Female,46-55,Hardcover,3
